13:40:17:886	13:40:16:640
13:40:22:761	13:40:21:641
13:40:27:891	13:40:26:642
13:40:32:760	13:40:31:643
13:40:37:891	13:40:36:644
13:40:42:760	13:40:41:645
13:40:47:891	13:40:46:646
13:40:52:760	13:40:51:647
13:40:57:891	13:40:56:647
13:41:02:765	13:41:01:648
13:41:12:770	13:41:11:650
13:41:17:895	13:41:16:651
13:41:22:769	13:41:21:652
13:41:27:900	13:41:26:653
13:41:42:769	13:41:41:655
13:41:47:899	13:41:46:656
13:41:52:774	13:41:51:657
13:41:57:900	13:41:56:658
13:42:02:774	13:42:01:659
13:42:07:903	13:42:06:660
13:42:12:779	13:42:11:660
13:42:17:904	13:42:16:661
13:42:22:779	13:42:21:662
13:42:27:909	13:42:26:662
13:42:32:784	13:42:31:663
13:42:42:779	13:42:41:664
13:42:47:908	13:42:46:665
13:42:52:784	13:42:51:666
13:42:57:908	13:42:56:667
13:43:02:783	13:43:01:668
13:43:12:788	13:43:11:669
13:43:17:913	13:43:16:670
13:43:27:917	13:43:26:672
13:43:32:795	13:43:31:673
13:43:37:922	13:43:36:674
13:43:42:790	13:43:41:675
13:43:52:795	13:43:51:676
13:43:57:921	13:43:56:677
13:44:07:921	13:44:06:678
13:44:12:799	13:44:11:678
13:44:17:920	13:44:16:679
13:44:22:799	13:44:21:679
13:44:27:926	13:44:26:680
13:44:32:799	13:44:31:680
13:44:37:926	13:44:36:680
13:44:42:804	13:44:41:681
13:44:47:925	13:44:46:681
13:44:52:798	13:44:51:682
13:44:57:925	13:44:56:683
13:45:02:803	13:45:01:683
13:45:07:925	13:45:06:683
13:45:12:803	13:45:11:684
13:45:17:929	13:45:16:684
13:45:22:803	13:45:21:685
13:45:42:807	13:45:41:688
13:45:47:934	13:45:46:688
13:45:52:808	13:45:51:689
13:45:57:934	13:45:56:690
13:46:02:807	13:46:01:690
13:46:07:933	13:46:06:691
13:46:12:812	13:46:11:692
13:46:17:938	13:46:16:693
13:46:22:811	13:46:21:693
13:46:27:938	13:46:26:694
13:46:32:816	13:46:31:695
13:46:37:937	13:46:36:695
13:46:47:942	13:46:46:697
13:46:52:816	13:46:51:697
13:46:57:937	13:46:56:698
13:47:02:815	13:47:01:699
13:47:12:821	13:47:11:700
13:47:17:941	13:47:16:701
13:47:22:820	13:47:21:701
13:47:27:947	13:47:26:702
13:47:32:825	13:47:31:703
13:47:37:947	13:47:36:704
13:47:42:825	13:47:41:705
13:47:47:952	13:47:46:705
13:47:52:830	13:47:51:706
13:47:57:946	13:47:56:707
13:48:02:824	13:48:01:708
13:48:07:951	13:48:06:709
13:48:12:829	13:48:11:710
13:48:17:950	13:48:16:711
13:48:27:956	13:48:26:712
13:48:32:835	13:48:31:713
